6.214742588,0.016669228,7.859592467,-0.008029154,10.69026435,0.012781516,14.0966337,0.011450269
6.291247233,0.086412419,8.437994723,0.027303754,11.25448611,0.081338198,14.85020445,0.072186929
6.511198089,0.190585421,8.605512761,0.112515626,11.45531081,0.167206858,15.25185384,0.166539672
6.635518138,0.296761184,8.806337456,0.28424393,11.57963086,0.25729502,15.48136778,0.264982086
6.692896622,0.358316619,8.882842101,0.379448688,11.68482474,0.35272067,15.65350323,0.36453843
6.79809051,0.483047369,8.949783666,0.470530116,11.77089247,0.446158287,15.79694944,0.461652332
6.845905914,0.546517208,9.00716215,0.551818633,11.84739712,0.536503405,15.93083257,0.556068188
6.903284398,0.621031682,9.064540634,0.631045485,11.92390176,0.628836558,16.0647157,0.648338228
6.951099801,0.677432954,9.121919119,0.705265435,12.00040641,0.718077212,16.21772499,0.743553505
7.056293689,0.798334897,9.188860684,0.78633306,12.08647413,0.80722951,16.40898661,0.840853397
7.123235254,0.862099259,9.324538259,0.924914676,12.16886544,0.897610922,16.52770449,0.90443686
7.366754617,1,9.628762395,0.99507667,13.27229614,0.858358809,16.86015831,0.982935154
7.514511873,1,9.952506596,0.935153584,13.51137316,0.770738034,17.11873351,1.003412969
7.878718628,0.877561749,10.21211032,0.842941837,13.69307169,0.68504148,17.59894459,0.948805461
8.108232565,0.827606013,10.41293501,0.766761966,13.86520714,0.602869392,18.01558416,0.863592915
8.385561905,0.714763822,10.58507046,0.687925357,14.01821643,0.522240047,18.47461204,0.778929063
8.462066551,0.655785468,10.8623998,0.531075755,14.14253648,0.442844896,18.87626143,0.687122781
8.529008116,0.597764316,10.99628293,0.454583766,14.24773037,0.365267376,19.13446461,0.593272831
8.662891245,0.464934167,11.30230152,0.304418798,14.35292426,0.278058934,19.36397854,0.502191404
8.72026973,0.406618491,11.47443697,0.227842658,14.38522427,0.225255973,19.57436632,0.410241132
8.787211294,0.344105855,11.6561355,0.150913091,14.49604222,0.160409556,19.75606485,0.315217997
8.959346747,0.190364529,11.81870787,0.089164111,14.60686016,0.092150171,19.91863722,0.220737276
9.169734522,0.068873538,12.13192612,0.017064846,14.79155673,0.020477816,20.09077267,0.127763535
9.523568508,0.008645998,12.6121372,0,15.01319261,-0.003412969,20.58805287,0.016984789
