#from https://arxiv.org/pdf/2205.11526
"M1600, AB b",Ok (Mpc 3 mag-1),"M1600,AB b",Ok (Mpc mag-1,"M1600,AB b",(Mpc mag-1),"M1600,AB b",Ok (Mpc 3 mag-1)
2 ~ 2,galaxies,,,,,,
-18.25,0.0005, +0.0001, -0.0001,,,,,,
-17.75,0.0009, +0.0002, -0.0001,,,,,,
-17.25,0.0016, +0.0003, -0.0002,,,,,,
-16.75,0.0029, +0.0008, -0.0004,,,,,,
-16.25,0.0052, +0.0020, -0.0008,,,,,,
-15.75,0.0092, +0.0045, -0.0016,,,,,,
-15.25,0.013, +0.008, -0.003,,,,,,
-14.75,0.014, +0.014, -0.005,,,,,,
-14.25,0.012, +0.022, -0.007,,,,,,
-13.75,0.0084, +0.0304, -0.0063,,,,,,
-13.25,0.0044, +0.0362, -0.0039,,,,,,
-12.75,0.0019, +0.0383, -0.0018,,,,,,
-12.25,0.0006, +0.0371,-0.0006,,,,,
