Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.769259072,0.376536237,2.366453419,0.322736388,3.355151352,0.380315507,4.496954922,0.34666312,5.640129008,0.399490317,6.358055173,0.331713815,7.251366036,0.306488905,8.462283724,0.39385159,9.339771551,0.218210218
1.796726051,0.413668298,2.393959617,0.362343222,3.396236339,0.428726765,4.529899608,0.390231683,5.667654817,0.440334538,6.412610005,0.382055126,7.299188125,0.356002677,8.503220548,0.432913704,9.39415643,0.257827511
1.824199566,0.451212821,2.421465816,0.401950056,3.437321326,0.477138023,4.552028328,0.429726436,5.708796455,0.492320469,6.467132154,0.430334126,7.35381486,0.410881073,8.550942408,0.476103055,9.448547846,0.297857266
1.851731911,0.492469504,2.445579496,0.439493272,3.48499743,0.517440139,4.593017444,0.472088248,5.756618544,0.541834241,6.521615083,0.476138353,7.408323936,0.458335149,8.61206526,0.516877857,9.502965409,0.33953687
1.899364437,0.530021871,2.483215314,0.482266239,3.552819471,0.556925174,4.63391069,0.508400614,5.85806013,0.582669727,6.589552604,0.52291022,7.483006029,0.506680916,8.726919763,0.556051224,9.557376435,0.380804012
2.00083633,0.572769682,2.524169569,0.522428252,3.6673906,0.578217678,4.688285111,0.547357967,5.999062676,0.575750273,6.724669397,0.568608336,7.618031548,0.546619668,8.81716266,0.566348063,9.611807071,0.423308541
2.12161314,0.561632055,2.618941401,0.566410835,3.814990402,0.563576546,4.796371256,0.583456501,6.099243284,0.537018042,6.913074158,0.58470865,7.793123104,0.570673915,8.888448955,0.572337491,9.666257317,0.467050456
2.188159913,0.52064767,2.766726606,0.563468632,3.962388163,0.53618658,4.944168345,0.581264229,6.159177774,0.502807207,7.067363861,0.568191733,7.967975318,0.579625698,9.049570697,0.562913611,9.727410238,0.509722584
2.227798123,0.477767284,2.914038796,0.530679161,4.082837971,0.504415128,5.084821477,0.552296794,6.212327228,0.464469135,7.160694938,0.521262637,8.108646917,0.551823541,9.169788299,0.516489929,9.822109071,0.549098922
2.258485488,0.435433362,3.047961033,0.501000842,4.169599782,0.466973978,5.198504925,0.517576568,6.258789695,0.42819076,7.22033005,0.468161032,8.201990196,0.505664374,9.243034447,0.474227561,9.956856906,0.571515835
